LocalDate,LocalTime,UTC,cpuTempF,intTempF,intHum,pressure,dewpoint
2/19/22,20:15:01,2/20/22 3:15,88.955,63.001,20.552,32.461,-5.556
2/19/22,20:16:02,2/20/22 3:16,84.572,63.129,20.739,32.444,-5.59
2/19/22,20:17:01,2/20/22 3:17,88.078,63.238,20.604,32.467,-5.508
2/19/22,20:18:02,2/20/22 3:18,85.448,63.348,20.659,32.401,-5.384
2/19/22,20:19:01,2/20/22 3:19,85.448,63.439,20.662,32.398,-5.33
2/19/22,20:20:01,2/20/22 3:20,92.461,63.558,20.47,32.358,-5.222
2/19/22,20:21:01,2/20/22 3:21,88.955,63.612,20.519,32.319,-5.364
2/19/22,20:22:01,2/20/22 3:22,88.078,63.758,20.482,32.276,-5.31
2/19/22,20:23:02,2/20/22 3:23,94.214,63.831,20.382,32.256,-5.274
2/19/22,20:24:01,2/20/22 3:24,89.831,63.959,20.385,32.292,-5.164
2/19/22,20:25:01,2/20/22 3:25,88.955,64.041,20.405,32.261,-5.228
2/19/22,20:26:01,2/20/22 3:26,88.078,64.15,20.553,32.316,-5.109
2/19/22,20:27:02,2/20/22 3:27,88.955,64.233,20.556,32.379,-5.005
2/19/22,20:28:01,2/20/22 3:28,90.708,64.406,20.397,32.371,-4.947
2/19/22,20:29:01,2/20/22 3:29,89.831,64.543,20.365,32.341,-4.881
2/19/22,20:30:02,2/20/22 3:30,94.214,64.679,20.343,32.355,-4.839
2/19/22,20:31:01,2/20/22 3:31,88.955,64.798,20.311,32.292,-4.876
2/19/22,20:32:02,2/20/22 3:32,89.831,64.935,20.395,32.229,-4.896
2/19/22,20:33:01,2/20/22 3:33,94.214,65.062,20.404,32.207,-4.856
2/19/22,20:34:01,2/20/22 3:34,88.955,65.217,20.099,32.158,-4.78
2/19/22,20:35:02,2/20/22 3:35,89.831,65.336,20.316,32.147,-4.677
2/19/22,20:36:02,2/20/22 3:36,90.708,65.19,18.978,32.096,-5.677
2/19/22,20:37:01,2/20/22 3:37,87.202,64.734,18.164,32.085,-6.469
2/19/22,20:38:01,2/20/22 3:38,88.078,64.242,17.878,32.105,-6.897
2/19/22,20:39:02,2/20/22 3:39,89.831,63.767,17.573,32.046,-7.239
2/19/22,20:40:01,2/20/22 3:40,88.955,63.321,17.446,32.045,-7.583
2/19/22,20:41:02,2/20/22 3:41,88.078,63.22,18.954,32.065,-6.469
2/19/22,20:42:01,2/20/22 3:42,89.831,63.457,19.583,32.094,-5.902
2/19/22,20:43:01,2/20/22 3:43,87.202,63.731,20.038,32.095,-5.764
2/19/22,20:44:02,2/20/22 3:44,90.708,63.968,19.888,32.098,-5.548
2/19/22,20:45:01,2/20/22 3:45,89.831,64.205,19.939,32.108,-5.47
2/19/22,20:46:01,2/20/22 3:46,90.708,64.396,19.9,32.113,-5.295
2/19/22,20:47:01,2/20/22 3:47,88.078,64.588,20.023,32.137,-5.147
2/19/22,20:48:01,2/20/22 3:48,92.461,64.78,19.96,32.119,-5.093
2/19/22,20:49:02,2/20/22 3:49,91.585,64.971,20.089,32.129,-4.996
2/19/22,20:50:01,2/20/22 3:50,90.708,65.135,19.894,32.145,-4.996
2/19/22,20:51:02,2/20/22 3:51,89.831,65.007,18.544,32.199,-5.957
2/19/22,20:52:01,2/20/22 3:52,88.955,64.579,17.805,32.304,-6.688
2/19/22,20:53:01,2/20/22 3:53,90.708,64.041,17.461,32.375,-7.284
2/19/22,20:54:02,2/20/22 3:54,88.955,63.567,17.209,32.442,-7.558
2/19/22,20:55:01,2/20/22 3:55,88.955,63.092,17.17,32.474,-7.801
2/19/22,20:56:02,2/20/22 3:56,88.078,62.91,18.698,32.56,-6.922
2/19/22,20:57:01,2/20/22 3:57,86.325,63.047,19.478,32.569,-6.358
2/19/22,20:58:01,2/20/22 3:58,87.202,63.211,19.722,32.516,-6.046
2/19/22,20:59:01,2/20/22 3:59,86.325,63.393,19.673,32.563,-5.855
2/19/22,21:00:01,2/20/22 4:00,86.325,63.512,19.789,32.538,-5.92
2/19/22,21:01:01,2/20/22 4:01,88.955,63.658,19.896,32.472,-5.698
2/19/22,21:02:01,2/20/22 4:02,88.078,63.758,19.951,32.382,-5.587
2/19/22,21:03:02,2/20/22 4:03,87.202,63.932,19.889,32.319,-5.572
2/19/22,21:04:01,2/20/22 4:04,88.078,63.995,19.795,32.276,-5.525
2/19/22,21:05:01,2/20/22 4:05,89.831,64.096,19.723,32.241,-5.634
2/19/22,21:06:01,2/20/22 4:06,86.325,64.187,19.887,32.298,-5.555
2/19/22,21:07:02,2/20/22 4:07,88.955,64.278,19.811,32.308,-5.456
2/19/22,21:08:01,2/20/22 4:08,90.708,64.379,19.923,32.288,-5.424
2/19/22,21:09:01,2/20/22 4:09,90.708,64.506,19.88,32.317,-5.317
2/19/22,21:10:02,2/20/22 4:10,89.831,64.634,19.86,32.291,-5.33
2/19/22,21:11:01,2/20/22 4:11,88.955,64.752,19.73,32.207,-5.24
2/19/22,21:12:02,2/20/22 4:12,92.461,64.843,19.889,32.111,-5.345
2/19/22,21:13:01,2/20/22 4:13,89.831,64.935,19.748,32.11,-5.169
2/19/22,21:15:50,2/20/22 4:15,91.585,64.561,18.187,32.212,-6.583
2/19/22,21:16:01,2/20/22 4:16,91.585,64.479,18.027,32.271,-6.681
2/19/22,21:17:01,2/20/22 4:17,89.831,64.351,19.099,32.329,-5.853
